model	U	eb1_1	eb2_1	mu	t	tb1_1	tb2_1	ave_U_1	ave_eb1_1	ave_eb2_1	ave_mu_1	ave_t_1	ave_tb1_1	ave_tb2_1	var_U_1	var_eb1_1	var_eb2_1	var_mu_1	var_t_1	var_tb1_1	var_tb2_1	E0_1	sector_1	githash	distance	diff_param	diff_hybrid	time
1D_2_4b	4	1.3455566	-1.3123909	1.98	1	0.66370941	0.66332641	0.10484659	0.10160103	3.8987807	0.99980913	-0.67401084	-0.85884162	-0.85735181	0.042052291	0.096223424	0.095887991	0.039459785	0.41576571	1.7621406	1.763952	-10.587233	R0:N6:S0:1	e569cda	 4.31e-04	 3.71e-03	 4.71e-04	2022-03-21@18:29
1D_2_4b	4	1.3507437	-1.3070789	1.98	1	0.66387338	0.66313122	0.10495134	0.10139112	3.8985705	1.0000192	-0.67401083	-0.85805519	-0.85813672	0.042085762	0.096040433	0.09607132	0.039459534	0.41576614	1.7631575	1.7629391	-10.56597	R0:N6:S0:1	e569cda	 4.31e-04	 1.09e-03	 1.36e-04	2022-03-21@18:29
1D_2_4b	4	1.3522783	-1.3055269	1.98	1	0.66392805	0.66307225	0.10498188	0.10133027	3.8985093	1.0000802	-0.67401077	-0.85782771	-0.8583651	0.042095516	0.095987389	0.096124704	0.039459557	0.41576607	1.7634526	1.7626439	-10.55976	R0:N6:S0:1	e569cda	 4.31e-04	 3.12e-04	 3.96e-05	2022-03-21@18:29
1D_2_4b	4	1.352705	-1.3050721	1.98	1	0.66394181	0.66305485	0.10499078	0.10131347	3.898491	1.0000978	-0.67401053	-0.8577647	-0.85843327	0.04209836	0.095972762	0.096140678	0.039459733	0.41576567	1.7635365	1.7625581	-10.557941	R0:N6:S0:1	e569cda	 4.32e-04	 9.98e-05	 1.14e-05	2022-03-21@18:29
1D_2_4b	4	1.3528438	-1.3049289	1.98	1	0.66394773	0.66304785	0.10499346	0.10130815	3.8984856	1.0001031	-0.67401051	-0.8577449	-0.85845321	0.042099215	0.09596813	0.096145373	0.039459735	0.41576566	1.7635625	1.7625321	-10.557368	R0:N6:S0:1	e569cda	 4.32e-04	 2.49e-05	 3.49e-06	2022-03-21@18:29
1D_2_4b	4	1.3528807	-1.3048955	1.98	1	0.66394878	0.66304707	0.10499416	0.10130658	3.8984843	1.0001046	-0.67401055	-0.857739	-0.85845826	0.042099441	0.095966753	0.096146539	0.039459706	0.41576573	1.7635697	1.7625253	-10.557234	R0:N6:S0:1	e569cda	 4.32e-04	 7.44e-07	 9.40e-07	2022-03-21@18:29
1D_2_4b	4	1.3766919	-1.2807201	1.96	1	0.66436494	0.66256548	0.10504747	0.10120806	3.8983728	1.0002096	-0.67400845	-0.8573982	-0.85884005	0.042116387	0.095882328	0.096242614	0.039460947	0.41576277	1.7640878	1.7619953	-10.420514	R0:N6:S0:1	e569cda	 4.36e-04	 1.46e-04	 1.00e+06	2022-03-21@18:29
1D_2_4b	4	1.3765438	-1.2804764	1.96	1	0.66432897	0.66251531	0.10504795	0.10121046	3.8983685	1.0002105	-0.67400741	-0.85740336	-0.85885134	0.042116533	0.095884589	0.096246524	0.039461149	0.41576197	1.7640932	1.7619907	-10.419505	R0:N6:S0:1	e569cda	 4.36e-04	 1.25e-06	 3.99e-06	2022-03-21@18:29
1D_2_4b	4	1.3765433	-1.2804756	1.96	1	0.66432915	0.66251761	0.10504817	0.10121078	3.8983677	1.0002107	-0.67400723	-0.85740457	-0.85885421	0.042116605	0.095884877	0.096247158	0.039461309	0.41576163	1.7640931	1.7619889	-10.419504	R0:N6:S0:1	e569cda	 4.36e-04	 0.00e+00	 2.72e-07	2022-03-21@18:29
1D_2_4b	4	1.4000569	-1.2558114	1.94	1	0.66467458	0.66193916	0.10510291	0.10111829	3.8982459	1.0003179	-0.67400255	-0.8570786	-0.85926502	0.042133999	0.095806049	0.09635257	0.039463411	0.4157561	1.7646205	1.7614457	-10.280765	R0:N6:S0:1	e569cda	 4.45e-04	 9.98e-05	 1.00e+06	2022-03-21@18:29
1D_2_4b	4	1.3998797	-1.2557247	1.94	1	0.66464898	0.66192202	0.10510292	0.10112461	3.8982422	1.0003166	-0.6740009	-0.85709983	-0.85927686	0.042134008	0.09581172	0.096355968	0.039464414	0.41575377	1.7646092	1.7614473	-10.280408	R0:N6:S0:1	e569cda	 4.45e-04	 3.99e-05	 2.39e-06	2022-03-21@18:29
1D_2_4b	4	1.3998049	-1.2556989	1.94	1	0.66464062	0.66191781	0.10510297	0.10112794	3.8982403	1.0003159	-0.67400004	-0.85711153	-0.85928315	0.042134027	0.095814702	0.096357648	0.039465008	0.41575244	1.7646024	1.7614479	-10.280305	R0:N6:S0:1	e569cda	 4.45e-04	 7.63e-07	 1.00e-06	2022-03-21@18:29
1D_2_4b	4	1.4226648	-1.2305647	1.92	1	0.66488658	0.66125005	0.10515883	0.1010592	3.8981009	1.0004199	-0.67398859	-0.85686463	-0.85974939	0.042151795	0.09575728	0.096479027	0.039471155	0.4157374	1.7650953	1.7609003	-10.139638	R0:N6:S0:1	e569cda	 4.57e-04	 6.34e-05	 1.00e+06	2022-03-21@18:29
1D_2_4b	4	1.4227667	-1.2306378	1.92	1	0.66490232	0.66126174	0.10515848	0.10105543	3.8981041	1.0004202	-0.67398974	-0.85685205	-0.85973868	0.04215168	0.095753878	0.096476105	0.039470437	0.41573906	1.7651003	1.7609025	-10.139936	R0:N6:S0:1	e569cda	 4.57e-04	 7.13e-07	 1.55e-06	2022-03-21@18:29
1D_2_4b	4	1.4454307	-1.2052938	1.9	1	0.66510759	0.66054496	0.10521431	0.10099086	3.897961	1.0005241	-0.67397708	-0.85661655	-0.86021321	0.042169429	0.095700265	0.096600825	0.039476916	0.41572292	1.7655921	1.7603554	-9.9983958	R0:N6:S0:1	e569cda	 4.73e-04	 2.14e-05	 1.00e+06	2022-03-21@18:29
1D_2_4b	4	1.4454725	-1.2053006	1.9	1	0.66511373	0.66054474	0.10521422	0.10098936	3.897962	1.0005243	-0.6739775	-0.85661148	-0.86020942	0.042169398	0.095698924	0.096599875	0.039476622	0.41572358	1.7655949	1.7603557	-9.9984231	R0:N6:S0:1	e569cda	 4.73e-04	 4.94e-07	 5.42e-07	2022-03-21@18:29
1D_2_4b	4	1.4679222	-1.1796866	1.88	1	0.66527609	0.65977008	0.10527052	0.1009304	3.8978128	1.0006284	-0.67396299	-0.85639246	-0.8606998	0.042187289	0.095650445	0.096729981	0.03948384	0.4157054	1.7660858	1.7598048	-9.8557657	R0:N6:S0:1	e569cda	 4.92e-04	 9.23e-07	 1.00e+06	2022-03-21@18:29
1D_2_4b	4	1.4901146	-1.1537951	1.86	1	0.66539419	0.65893242	0.10532695	0.10087945	3.8976574	1.0007316	-0.67394622	-0.85619885	-0.86120614	0.042205215	0.095609256	0.096865697	0.039492089	0.41568454	1.7665692	1.7592536	-9.7119608	R0:N6:S0:1	e569cda	 5.16e-04	 5.60e-05	 1.00e+06	2022-03-21@18:29
1D_2_4b	4	1.4900799	-1.1536906	1.86	1	0.66538784	0.6589127	0.10532738	0.10088104	3.8976549	1.000732	-0.67394555	-0.85620403	-0.86121359	0.042205354	0.095610741	0.096867943	0.039492428	0.4156837	1.7665703	1.7592496	-9.7115347	R0:N6:S0:1	e569cda	 5.16e-04	 7.11e-07	 1.75e-06	2022-03-21@18:29
1D_2_4b	4	1.5119452	-1.1273124	1.84	1	0.66544474	0.65798106	0.10538561	0.10084101	3.8974861	1.0008364	-0.67392486	-0.85604478	-0.86175919	0.04222385	0.095579587	0.097015624	0.039502656	0.41565791	1.7670521	1.7586834	-9.565733	R0:N6:S0:1	e569cda	 5.45e-04	 4.72e-05	 1.00e+06	2022-03-21@18:29
1D_2_4b	4	1.5118717	-1.1273706	1.84	1	0.6654364	0.65798804	0.10538484	0.10084313	3.8974874	1.0008347	-0.67392472	-0.85605212	-0.86175501	0.042223607	0.09558143	0.097014571	0.039502759	0.41565768	1.7670431	1.7586912	-9.565966	R0:N6:S0:1	e569cda	 5.45e-04	 8.72e-07	 1.39e-06	2022-03-21@18:29
1D_2_4b	4	1.5332971	-1.1007275	1.82	1	0.66542603	0.65698655	0.10544204	0.10081698	3.8973123	1.0009353	-0.67390081	-0.85593825	-0.86231503	0.042241773	0.095562785	0.09716798	0.039514526	0.41562798	1.7675009	1.7581369	-9.4190594	R0:N6:S0:1	e569cda	 5.80e-04	 2.19e-05	 1.00e+06	2022-03-21@18:29
1D_2_4b	4	1.5332816	-1.1006878	1.82	1	0.66542362	0.65697673	0.10544199	0.10081754	3.8973119	1.0009353	-0.67390066	-0.85594006	-0.86231553	0.042241758	0.09556331	0.097168334	0.039514552	0.41562787	1.7675008	1.7581371	-9.4188957	R0:N6:S0:1	e569cda	 5.80e-04	 0.00e+00	 7.88e-07	2022-03-21@18:29
1D_2_4b	4	1.5543108	-1.0736417	1.8	1	0.66534648	0.65588416	0.10549938	0.10080397	3.8971272	1.0010344	-0.6738732	-0.85586635	-0.86290059	0.042259979	0.095556121	0.097330465	0.039527953	0.41559396	1.7679463	1.7575826	-9.2703234	R0:N6:S0:1	e569cda	 6.20e-04	 9.79e-07	 1.00e+06	2022-03-21@18:29
1D_2_4b	4	1.5749593	-1.0462338	1.78	1	0.66520707	0.65470343	0.10555639	0.10080236	3.8969348	1.0011314	-0.67384262	-0.85583097	-0.86350327	0.042278071	0.095559836	0.097499534	0.039542673	0.41555654	1.7683779	1.7570329	-9.1202507	R0:N6:S0:1	e569cda	 6.67e-04	 4.68e-05	 1.00e+06	2022-03-21@18:29
1D_2_4b	4	1.5750517	-1.046225	1.78	1	0.66521859	0.65469864	0.10555632	0.1007987	3.8969368	1.0011323	-0.67384356	-0.85581823	-0.86349579	0.042278039	0.095556574	0.097497722	0.039541976	0.41555806	1.7683862	1.7570322	-9.1202128	R0:N6:S0:1	e569cda	 6.67e-04	 1.05e-06	 1.13e-06	2022-03-21@18:29
1D_2_4b	4	1.5750523	-1.0462254	1.78	1	0.66521676	0.65469793	0.10555624	0.10079809	3.8969372	1.0011324	-0.67384374	-0.85581577	-0.8634942	0.042278013	0.095556029	0.097497351	0.039541817	0.41555839	1.7683875	1.7570327	-9.1202122	R0:N6:S0:1	e569cda	 6.67e-04	 0.00e+00	 2.02e-07	2022-03-21@18:29
1D_2_4b	4	1.5955054	-1.0184375	1.76	1	0.66503335	0.65342359	0.10561313	0.10080032	3.8967401	1.0012298	-0.67381192	-0.85578959	-0.86410305	0.042296044	0.095563401	0.097670538	0.039556447	0.41552054	1.768826	1.7564826	-8.9685605	R0:N6:S0:1	e569cda	 7.23e-04	 1.86e-05	 1.00e+06	2022-03-21@18:29
1D_2_4b	4	1.59549	-1.0184049	1.76	1	0.66502993	0.65341485	0.10561303	0.10080053	3.89674	1.0012297	-0.67381188	-0.85578999	-0.86410247	0.042296009	0.095563606	0.097670613	0.039556383	0.41552063	1.7688264	1.7564834	-8.9684245	R0:N6:S0:1	e569cda	 7.23e-04	 0.00e+00	 7.24e-07	2022-03-21@18:29
1D_2_4b	4	1.6156241	-0.99018062	1.74	1	0.66478636	0.65203305	0.10566961	0.10081129	3.8965359	1.0013264	-0.67377769	-0.85578901	-0.86472386	0.042313921	0.095578879	0.097849994	0.039571575	0.41548081	1.7692628	1.7559357	-8.814961	R0:N6:S0:1	e569cda	 7.88e-04	 7.66e-05	 1.00e+06	2022-03-21@18:29
1D_2_4b	4	1.6154766	-0.99014569	1.74	1	0.66476721	0.65202101	0.10566902	0.1008164	3.8965346	1.0013245	-0.67377665	-0.85580638	-0.86472705	0.04231374	0.095583452	0.097851236	0.039572163	0.41547941	1.7692508	1.7559423	-8.814813	R0:N6:S0:1	e569cda	 7.88e-04	 2.38e-05	 1.62e-06	2022-03-21@18:29
1D_2_4b	4	1.6154294	-0.99014301	1.74	1	0.66476238	0.6520197	0.10566888	0.1008184	3.896534	1.0013238	-0.67377621	-0.85581345	-0.86472903	0.042313697	0.095585236	0.09785181	0.039572459	0.41547875	1.7692459	1.7559442	-8.814802	R0:N6:S0:1	e569cda	 7.88e-04	 6.03e-07	 4.80e-07	2022-03-21@18:29
1D_2_4b	4	1.634869	-0.96143957	1.72	1	0.66441741	0.65051243	0.10572385	0.10085288	3.8963186	1.0014142	-0.67373642	-0.85589068	-0.86537585	0.042331093	0.095621986	0.098041536	0.039590272	0.41543228	1.7696437	1.7554151	-8.6593471	R0:N6:S0:1	e569cda	 8.64e-04	 1.91e-05	 1.00e+06	2022-03-21@18:29
1D_2_4b	4	1.634873	-0.96140362	1.72	1	0.66441528	0.65050025	0.10572354	0.10085184	3.8963196	1.0014143	-0.67373679	-0.85588645	-0.86537099	0.042330989	0.095621069	0.098040631	0.039589876	0.41543307	1.7696466	1.7554172	-8.6591943	R0:N6:S0:1	e569cda	 8.64e-04	 0.00e+00	 1.04e-06	2022-03-21@18:29
1D_2_4b	4	1.6538222	-0.93218691	1.7	1	0.66398534	0.64885657	0.10577705	0.10090007	3.8960968	1.0015016	-0.67369375	-0.85600555	-0.86602784	0.042347896	0.095670435	0.09823707	0.039608454	0.41538394	1.7700315	1.7549016	-8.5015991	R0:N6:S0:1	e569cda	 9.53e-04	 1.63e-05	 1.00e+06	2022-03-21@18:29
1D_2_4b	4	1.653837	-0.93216017	1.7	1	0.66398726	0.64884552	0.10577666	0.1008992	3.896098	1.0015014	-0.67369413	-0.85600239	-0.8660221	0.042347767	0.095669671	0.098235919	0.039608089	0.41538469	1.7700331	1.7549045	-8.5014855	R0:N6:S0:1	e569cda	 9.53e-04	 4.48e-07	 1.03e-06	2022-03-21@18:29
1D_2_4b	4	1.6723219	-0.90241367	1.68	1	0.66347848	0.64705333	0.10582805	0.10096054	3.8958696	1.0015849	-0.6736483	-0.85616115	-0.86668047	0.042363973	0.095731098	0.0984374	0.039626989	0.41533382	1.7704056	1.7544076	-8.341678	R0:N6:S0:1	e569cda	 1.06e-03	 1.31e-05	 1.00e+06	2022-03-21@18:29
1D_2_4b	4	1.672329	-0.90239135	1.68	1	0.66347498	0.64704229	0.10582754	0.10095865	3.8958715	1.0015849	-0.67364896	-0.85615361	-0.86667228	0.042363802	0.095729407	0.098435658	0.039626351	0.41533513	1.7704096	1.7544114	-8.3415777	R0:N6:S0:1	e569cda	 1.06e-03	 3.18e-07	 1.05e-06	2022-03-21@18:29
1D_2_4b	4	1.6903484	-0.87209651	1.66	1	0.66287913	0.6450909	0.10587627	0.1010307	3.8956394	1.0016649	-0.67360112	-0.85634189	-0.86732317	0.042379123	0.095800778	0.098640391	0.039644763	0.41528417	1.7707759	1.7539371	-8.1794695	R0:N6:S0:1	e569cda	 1.18e-03	 3.44e-05	 1.00e+06	2022-03-21@18:29
1D_2_4b	4	1.6903386	-0.87203207	1.66	1	0.66287512	0.6450693	0.10587571	0.10103001	3.8956407	1.0016646	-0.67360149	-0.85633871	-0.86731625	0.042378936	0.095800187	0.098639229	0.039644273	0.41528511	1.7707782	1.7539413	-8.1791973	R0:N6:S0:1	e569cda	 1.18e-03	 3.91e-07	 1.93e-06	2022-03-21@18:29
1D_2_4b	4	1.7078648	-0.84108246	1.64	1	0.66218697	0.64292566	0.10592112	0.1011134	3.8954055	1.0017406	-0.67355168	-0.85655767	-0.86795367	0.042393151	0.095882143	0.098846744	0.039661802	0.41523473	1.7711396	1.7534947	-8.0143437	R0:N6:S0:1	e569cda	 1.33e-03	 1.48e-04	 1.00e+06	2022-03-21@18:29
1D_2_4b	4	1.7075822	-0.8410063	1.64	1	0.6621479	0.64289768	0.10591976	0.10112251	3.8954037	1.0017369	-0.67354994	-0.85658785	-0.86795633	0.042392722	0.095890297	0.09884848	0.039662636	0.41523264	1.7711185	1.7535092	-8.0140178	R0:N6:S0:1	e569cda	 1.33e-03	 1.79e-06	 3.27e-06	2022-03-21@18:29
1D_2_4b	4	1.707581	-0.84100702	1.64	1	0.66215112	0.642897	0.10591969	0.10112338	3.8954036	1.0017365	-0.67354977	-0.85659143	-0.86795663	0.042392699	0.095891078	0.098848578	0.039662787	0.41523233	1.7711159	1.75351	-8.0140229	R0:N6:S0:1	e569cda	 1.33e-03	 0.00e+00	 3.56e-07	2022-03-21@18:29
1D_2_4b	4	1.7240572	-0.80931615	1.62	1	0.66130354	0.64052676	0.10595964	0.10123949	3.8951592	1.0018006	-0.67349353	-0.85691388	-0.86859634	0.042405149	0.09600276	0.099064635	0.039682033	0.41517645	1.7714233	1.7531162	-7.846056	R0:N6:S0:1	e569cda	 1.51e-03	 2.33e-05	 1.00e+06	2022-03-21@18:29
1D_2_4b	4	1.7240558	-0.80927519	1.62	1	0.66130002	0.64050499	0.10595853	0.10123766	3.8951626	1.0017999	-0.67349444	-0.85690656	-0.8685819	0.042404785	0.096001136	0.099061645	0.03968112	0.4151783	1.7714258	1.7531249	-7.8458747	R0:N6:S0:1	e569cda	 1.51e-03	 9.41e-07	 2.11e-06	2022-03-21@18:29
1D_2_4b	4	1.7397625	-0.77683867	1.6	1	0.66032226	0.63788739	0.10599168	0.10137297	3.8949187	1.0018542	-0.67343573	-0.8572838	-0.86918616	0.042415007	0.096130498	0.099277434	0.039698963	0.41512366	1.7717074	1.7527907	-7.6747564	R0:N6:S0:1	e569cda	 1.73e-03	 3.90e-05	 1.00e+06	2022-03-21@18:29
1D_2_4b	4	1.7397618	-0.77676729	1.6	1	0.6603152	0.63785652	0.10599041	0.10137008	3.8949226	1.0018537	-0.67343694	-0.85727208	-0.86916855	0.042414587	0.096127946	0.099273884	0.039697717	0.41512617	1.7717132	1.7528003	-7.6744456	R0:N6:S0:1	e569cda	 1.73e-03	 9.08e-07	 2.94e-06	2022-03-21@18:29
1D_2_4b	4	1.7546989	-0.74348305	1.58	1	0.65919616	0.63495167	0.10601534	0.10152116	3.8946831	1.0018979	-0.67337711	-0.85768897	-0.86971762	0.042422113	0.096272002	0.099485882	0.039712584	0.41507589	1.7719792	1.7525362	-7.4997346	R0:N6:S0:1	e569cda	 1.99e-03	 1.05e-04	 1.00e+06	2022-03-21@18:29
1D_2_4b	4	1.7545278	-0.74337519	1.58	1	0.65916745	0.6349062	0.10601325	0.10152435	3.8946858	1.0018949	-0.67337714	-0.85769771	-0.86970238	0.042421435	0.096274892	0.099483561	0.03971196	0.41507691	1.7719707	1.7525548	-7.4992677	R0:N6:S0:1	e569cda	 1.99e-03	 1.29e-06	 4.41e-06	2022-03-21@18:29
1D_2_4b	4	1.7545276	-0.74337583	1.58	1	0.65916803	0.63490378	0.106013	0.10152427	3.8946864	1.0018946	-0.67337727	-0.85769747	-0.86969964	0.042421356	0.096274816	0.099482953	0.039711841	0.41507716	1.7719701	1.7525569	-7.4992686	R0:N6:S0:1	e569cda	 1.99e-03	 3.92e-07	 3.93e-07	2022-03-21@18:29
1D_2_4b	4	1.7683525	-0.70910082	1.56	1	0.65785923	0.63164836	0.10602645	0.10170144	3.8944527	1.0019229	-0.67331505	-0.85818615	-0.87017849	0.042425136	0.096442893	0.099690062	0.039723662	0.41503085	1.7721966	1.7523936	-7.3203461	R0:N6:S0:1	e569cda	 2.33e-03	 1.19e-04	 1.00e+06	2022-03-21@18:29
1D_2_4b	4	1.7681538	-0.70898297	1.56	1	0.65782938	0.63159578	0.10602387	0.10170595	3.894456	1.001919	-0.67331497	-0.85819961	-0.87016021	0.042424301	0.09644697	0.099687252	0.039723046	0.41503181	1.7721839	1.7524167	-7.319836	R0:N6:S0:1	e569cda	 2.33e-03	 9.78e-06	 5.23e-06	2022-03-21@18:29
1D_2_4b	4	1.7681442	-0.7089999	1.56	1	0.65783136	0.63159643	0.10602352	0.10170677	3.8944567	1.0019183	-0.67331494	-0.85820292	-0.87015773	0.042424192	0.09644769	0.099686655	0.039723085	0.41503174	1.7721801	1.7524201	-7.3199052	R0:N6:S0:1	e569cda	 2.33e-03	 5.89e-07	 8.33e-07	2022-03-21@18:29
1D_2_4b	4	1.7806118	-0.67364038	1.54	1	0.65630505	0.62793141	0.10602162	0.10191833	3.8942334	1.0019242	-0.67324991	-0.85878955	-0.87054026	0.042422981	0.096647293	0.099885022	0.03973127	0.41499023	1.7723439	1.752393	-7.1363566	R0:N6:S0:1	e569cda	 2.75e-03	 1.83e-04	 1.00e+06	2022-03-21@18:29
1D_2_4b	4	1.7802943	-0.67348346	1.54	1	0.65625752	0.62785541	0.10601751	0.10192556	3.8942387	1.0019179	-0.67324979	-0.85881111	-0.87051133	0.042421653	0.096653809	0.099880439	0.03973033	0.4149917	1.7723228	1.7524302	-7.1356709	R0:N6:S0:1	e569cda	 2.75e-03	 1.18e-05	 7.79e-06	2022-03-21@18:29
1D_2_4b	4	1.7802913	-0.67350668	1.54	1	0.65626039	0.62785499	0.10601692	0.10192585	3.8942403	1.0019169	-0.67325001	-0.85881256	-0.87050544	0.042421465	0.09665405	0.099879019	0.039730178	0.41499204	1.7723191	1.7524354	-7.1357638	R0:N6:S0:1	e569cda	 2.75e-03	 7.86e-06	 1.33e-06	2022-03-21@18:29
1D_2_4b	4	1.7802891	-0.67352208	1.54	1	0.65626116	0.62785714	0.10601676	0.101926	3.8942408	1.0019166	-0.67325006	-0.85881322	-0.87050396	0.042421415	0.096654164	0.09987861	0.039730162	0.41499209	1.7723176	1.7524369	-7.1358265	R0:N6:S0:1	e569cda	 2.75e-03	 3.82e-06	 6.22e-07	2022-03-21@18:29
1D_2_4b	4	1.7802875	-0.67352935	1.54	1	0.65626234	0.62785844	0.10601672	0.10192636	3.8942408	1.0019164	-0.67325	-0.85881471	-0.87050396	0.042421401	0.096654482	0.099878582	0.039730227	0.41499197	1.7723163	1.7524375	-7.1358571	R0:N6:S0:1	e569cda	 2.75e-03	 2.80e-07	 2.95e-07	2022-03-21@18:29
1D_2_4b	4	1.7909576	-0.6369641	1.52	1	0.65445995	0.6236912	0.1059926	0.10218442	3.8940373	1.0018892	-0.67318207	-0.85953551	-0.87074073	0.042412989	0.096896512	0.10006009	0.03973331	0.41495766	1.7723803	1.7526095	-6.9471252	R0:N6:S0:1	e569cda	 3.30e-03	 1.64e-04	 1.00e+06	2022-03-21@18:29
1D_2_4b	4	1.7906939	-0.63679611	1.52	1	0.65442693	0.62359762	0.10598717	0.1021903	3.8940469	1.0018814	-0.6731829	-0.85955338	-0.87069438	0.042411228	0.096901834	0.10005166	0.039731585	0.41496081	1.7723575	1.7526572	-6.9463881	R0:N6:S0:1	e569cda	 3.30e-03	 2.53e-05	 9.92e-06	2022-03-21@18:29
1D_2_4b	4	1.7906827	-0.63684529	1.52	1	0.65443015	0.62360065	0.10598629	0.10219086	3.8940493	1.0018799	-0.67318321	-0.85955596	-0.87068581	0.042410946	0.096902294	0.10004951	0.039731395	0.41496126	1.7723512	1.7526653	-6.9465862	R0:N6:S0:1	e569cda	 3.30e-03	 1.23e-05	 2.53e-06	2022-03-21@18:29
1D_2_4b	4	1.7906782	-0.63686929	1.52	1	0.65443056	0.62360374	0.10598601	0.10219091	3.8940502	1.0018795	-0.67318334	-0.85955627	-0.87068299	0.042410858	0.096902319	0.10004874	0.03973132	0.41496143	1.7723493	1.752668	-6.9466832	R0:N6:S0:1	e569cda	 3.30e-03	 5.65e-06	 1.07e-06	2022-03-21@18:29
1D_2_4b	4	1.7906743	-0.63687977	1.52	1	0.65443071	0.62360539	0.10598591	0.1021911	3.8940504	1.0018792	-0.67318335	-0.85955702	-0.87068229	0.042410828	0.096902478	0.10004854	0.03973133	0.41496142	1.7723481	1.7526689	-6.9467259	R0:N6:S0:1	e569cda	 3.30e-03	 2.52e-07	 4.48e-07	2022-03-21@18:29
1D_2_4b	4	1.7993044	-0.59905143	1.5	1	0.65233735	0.61883611	0.10593077	0.10250315	3.8938846	1.0018061	-0.6731146	-0.86043474	-0.87069224	0.042392361	0.097193694	0.10019751	0.039726374	0.41494004	1.7722754	1.753118	-6.7525138	R0:N6:S0:1	e569cda	 4.03e-03	 4.82e-04	 1.00e+06	2022-03-21@18:29
