

1D_2_4b	-1.0127067	4	0.29558555	-0.19091427	1	1	0.44381692	0.45507832	0.86463421	-1.0127067	0.077122528	0.53879229	3.6868395	0.8871841	-0.59699998	-1.5151297	-1.2700165	0.032887853	0.40013365	0.2823048	0.073280483	0.32694066	1.224783	2.1220094	-4.1463962	R0:N6:S0:1	bdc1e79	2021-10-27@13:37


model	E_kin	U	eb1_1	eb2_1	mu	t	tb1_1	tb2_1	ave_mu	ave_t	ave_U_1	ave_eb1_1	ave_eb2_1	ave_mu_1	ave_t_1	ave_tb1_1	ave_tb2_1	var_U_1	var_eb1_1	var_eb2_1	var_mu_1	var_t_1	var_tb1_1	var_tb2_1	E0_1	sector_1	githash	time
1D_2_4b	-1.0127071	4	0.29557641	-0.19091242	1	1	0.44381279	0.45507654	0.86463473	-1.0127071	0.077122278	0.53879916	3.6868341	0.88718339	-0.59699936	-1.5151311	-1.2700233	0.032887763	0.40013736	0.28230921	0.07328057	0.32694018	1.2247827	2.1220139	-4.1463857	R0:N6:S0:1	bdc1e79	2021-10-27@13:37


model	E_kin	U	eb1_1	eb2_1	mu	t	tb1_1	tb2_1	ave_mu	ave_t	ave_U_1	ave_eb1_1	ave_eb2_1	ave_mu_1	ave_t_1	ave_tb1_1	ave_tb2_1	var_U_1	var_eb1_1	var_eb2_1	var_mu_1	var_t_1	var_tb1_1	var_tb2_1	E0_1	sector_1	githash	time
1D_2_4b	-1.0127071	4	0.29557722	-0.19091227	1	1	0.44381358	0.45507652	0.86463447	-1.0127071	0.077122296	0.53879901	3.6868342	0.88718337	-0.59699932	-1.5151317	-1.2700231	0.03288777	0.40013736	0.28230906	0.0732806	0.32694013	1.2247826	2.1220133	-4.1463859	R0:N6:S0:1	bdc1e79	2021-10-27@13:38


model	E_kin	U	eb1_1	eb2_1	mu	t	tb1_1	tb2_1	ave_mu	ave_t	ave_U_1	ave_eb1_1	ave_eb2_1	ave_mu_1	ave_t_1	ave_tb1_1	ave_tb2_1	var_U_1	var_eb1_1	var_eb2_1	var_mu_1	var_t_1	var_tb1_1	var_tb2_1	E0_1	sector_1	githash	time
1D_2_4b	-1.012707	4	0.29558342	-0.19091382	1	1	0.44381691	0.45507773	0.86463444	-1.012707	0.07712246	0.53879462	3.6868379	0.88718376	-0.59699965	-1.5151315	-1.2700187	0.032887829	0.40013501	0.28230611	0.073280587	0.32694036	1.2247824	2.12201	-4.1463949	R0:N6:S0:1	bdc1e79	2021-10-27@13:42


model	E_kin	U	eb1_1	eb2_1	mu	t	tb1_1	tb2_1	ave_mu	ave_t	ave_U_1	ave_eb1_1	ave_eb2_1	ave_mu_1	ave_t_1	ave_tb1_1	ave_tb2_1	var_U_1	var_eb1_1	var_eb2_1	var_mu_1	var_t_1	var_tb1_1	var_tb2_1	E0_1	sector_1	githash	time
1D_2_4b	-1.0127069	4	0.29557676	-0.19091244	1	1	0.44381296	0.45507664	0.864634	-1.0127069	0.077122289	0.538799	3.6868342	0.88718341	-0.59699936	-1.5151311	-1.2700233	0.032887768	0.40013728	0.28230911	0.073280574	0.32694018	1.2247827	2.1220137	-4.146386	R0:N6:S0:1	bdc1e79	2021-10-27@13:43


model	E_kin	U	eb1_1	eb2_1	mu	t	tb1_1	tb2_1	ave_mu	ave_t	ave_U_1	ave_eb1_1	ave_eb2_1	ave_mu_1	ave_t_1	ave_tb1_1	ave_tb2_1	var_U_1	var_eb1_1	var_eb2_1	var_mu_1	var_t_1	var_tb1_1	var_tb2_1	E0_1	sector_1	githash	time
1D_2_4b	-1.0127076	4	0.29560906	-0.19091703	1	1	0.44382745	0.45508231	0.86463761	-1.0127076	0.077123175	0.5387755	3.6868526	0.88718597	-0.59700151	-1.5151266	-1.2699995	0.032888084	0.40012474	0.28229423	0.073280255	0.32694189	1.2247847	2.1219979	-4.1464147	R0:N6:S0:1	bdc1e79	2021-10-27@13:44


model	E_kin	U	eb1_1	eb2_1	mu	t	tb1_1	tb2_1	ave_mu	ave_t	ave_U_1	ave_eb1_1	ave_eb2_1	ave_mu_1	ave_t_1	ave_tb1_1	ave_tb2_1	var_U_1	var_eb1_1	var_eb2_1	var_mu_1	var_t_1	var_tb1_1	var_tb2_1	E0_1	sector_1	githash	time
1D_2_4b	-1.0127096	4	0.29560829	-0.1909168	1	1	0.44382661	0.45508192	0.86464271	-1.0127096	0.077123148	0.53877525	3.6868527	0.88718604	-0.59700166	-1.5151256	-1.2699989	0.032888074	0.40012459	0.28229416	0.073280181	0.32694204	1.2247852	2.1219986	-4.1464125	R0:N6:S0:1	bdc1e79	2021-10-27@13:54


model	E_kin	U	eb1_1	eb2_1	mu	t	tb1_1	tb2_1	ave_mu	ave_t	ave_U_1	ave_eb1_1	ave_eb2_1	ave_mu_1	ave_t_1	ave_tb1_1	ave_tb2_1	var_U_1	var_eb1_1	var_eb2_1	var_mu_1	var_t_1	var_tb1_1	var_tb2_1	E0_1	sector_1	githash	time
1D_2_4b	-1.0127222	4	0.29538915	-0.19085929	1	1	0.44375838	0.45501438	0.86465929	-1.0127222	0.077116298	0.53894391	3.6867257	0.88716518	-0.5969859	-1.5151903	-1.2701391	0.032885621	0.40022212	0.28239691	0.073282994	0.32692874	1.2247759	2.1220991	-4.1461294	R0:N6:S0:1	bdc1e79	2021-10-27@13:55


model	E_kin	U	eb1_1	eb2_1	mu	t	tb1_1	tb2_1	ave_mu	ave_t	ave_U_1	ave_eb1_1	ave_eb2_1	ave_mu_1	ave_t_1	ave_tb1_1	ave_tb2_1	var_U_1	var_eb1_1	var_eb2_1	var_mu_1	var_t_1	var_tb1_1	var_tb2_1	E0_1	sector_1	githash	time
1D_2_4b	-1.0127221	4	0.29538992	-0.19085934	1	1	0.44375874	0.45501441	0.86465925	-1.0127221	0.077116317	0.53894325	3.6867263	0.88716525	-0.59698598	-1.5151901	-1.2701383	0.032885627	0.40022178	0.28239649	0.073282978	0.32692881	1.224776	2.1220988	-4.1461297	R0:N6:S0:1	bdc1e79	2021-10-27@14:11


model	E_kin	U	eb1_1	eb2_1	mu	t	tb1_1	tb2_1	ave_mu	ave_t	ave_U_1	ave_eb1_1	ave_eb2_1	ave_mu_1	ave_t_1	ave_tb1_1	ave_tb2_1	var_U_1	var_eb1_1	var_eb2_1	var_mu_1	var_t_1	var_tb1_1	var_tb2_1	E0_1	sector_1	githash	time
1D_2_4b	-1.0127221	4	0.29538992	-0.19085934	1	1	0.44375874	0.45501441	0.86465925	-1.0127221	0.077116317	0.53894325	3.6867263	0.88716525	-0.59698598	-1.5151901	-1.2701383	0.032885627	0.40022178	0.28239649	0.073282978	0.32692881	1.224776	2.1220988	-4.1461297	R0:N6:S0:1	bdc1e79	2021-10-27@14:18


model	E_kin	U	eb1_1	eb2_1	mu	t	tb1_1	tb2_1	ave_mu	ave_t	ave_U_1	ave_eb1_1	ave_eb2_1	ave_mu_1	ave_t_1	ave_tb1_1	ave_tb2_1	var_U_1	var_eb1_1	var_eb2_1	var_mu_1	var_t_1	var_tb1_1	var_tb2_1	E0_1	sector_1	githash	time
1D_2_4b	-1.0127222	4	0.29538915	-0.19085929	1	1	0.44375838	0.45501438	0.86465929	-1.0127222	0.077116298	0.53894391	3.6867257	0.88716518	-0.5969859	-1.5151903	-1.2701391	0.032885621	0.40022212	0.28239691	0.073282994	0.32692874	1.2247759	2.1220991	-4.1461294	R0:N6:S0:1	bdc1e79	2021-10-27@14:20


model	E_kin	U	eb1_1	eb2_1	mu	t	tb1_1	tb2_1	ave_mu	ave_t	ave_U_1	ave_eb1_1	ave_eb2_1	ave_mu_1	ave_t_1	ave_tb1_1	ave_tb2_1	var_U_1	var_eb1_1	var_eb2_1	var_mu_1	var_t_1	var_tb1_1	var_tb2_1	E0_1	sector_1	githash	time
1D_2_4b	-1.0127221	4	0.29538992	-0.19085934	1	1	0.44375874	0.45501441	0.86465925	-1.0127221	0.077116317	0.53894325	3.6867263	0.88716525	-0.59698598	-1.5151901	-1.2701383	0.032885627	0.40022178	0.28239649	0.073282978	0.32692881	1.224776	2.1220988	-4.1461297	R0:N6:S0:1	bdc1e79	2021-10-27@14:22


model	E_kin	U	eb1_1	eb2_1	mu	t	tb1_1	tb2_1	ave_mu	ave_t	ave_U_1	ave_eb1_1	ave_eb2_1	ave_mu_1	ave_t_1	ave_tb1_1	ave_tb2_1	var_U_1	var_eb1_1	var_eb2_1	var_mu_1	var_t_1	var_tb1_1	var_tb2_1	E0_1	sector_1	githash	time
1D_2_4b	-1.0127222	4	0.2953893	-0.19085942	1	1	0.44375847	0.45501448	0.86465928	-1.0127222	0.077116304	0.53894384	3.6867258	0.88716518	-0.5969859	-1.5151903	-1.2701391	0.032885623	0.40022207	0.28239686	0.073283001	0.32692874	1.2247758	2.122099	-4.14613	R0:N6:S0:1	bdc1e79	2021-10-27@14:22


model	E_kin	U	eb1_1	eb2_1	mu	t	tb1_1	tb2_1	ave_mu	ave_t	ave_U_1	ave_eb1_1	ave_eb2_1	ave_mu_1	ave_t_1	ave_tb1_1	ave_tb2_1	var_U_1	var_eb1_1	var_eb2_1	var_mu_1	var_t_1	var_tb1_1	var_tb2_1	E0_1	sector_1	githash	time
1D_2_4b	-1.0127221	4	0.29539029	-0.19085912	1	1	0.44375888	0.45501427	0.86465924	-1.0127221	0.077116323	0.53894289	3.6867265	0.8871653	-0.59698604	-1.5151899	-1.2701377	0.032885629	0.40022162	0.28239628	0.073282956	0.32692886	1.2247762	2.1220987	-4.1461287	R0:N6:S0:1	bdc1e79	2021-10-27@14:23


model	E_kin	U	eb1_1	eb2_1	mu	t	tb1_1	tb2_1	ave_mu	ave_t	ave_U_1	ave_eb1_1	ave_eb2_1	ave_mu_1	ave_t_1	ave_tb1_1	ave_tb2_1	var_U_1	var_eb1_1	var_eb2_1	var_mu_1	var_t_1	var_tb1_1	var_tb2_1	E0_1	sector_1	githash	time
1D_2_4b	-1.0127063	4	0.29559062	-0.19091378	1	1	0.4438194	0.45507805	0.86463375	-1.0127063	0.07712264	0.53878809	3.6868428	0.88718457	-0.5970005	-1.5151287	-1.2700109	0.032887892	0.40013161	0.28230217	0.073280356	0.3269411	1.2247842	2.1220072	-4.146395	R0:N6:S0:1	bdc1e79	2021-10-27@14:23
model	E_kin	U	eb1_1	eb2_1	mu	t	tb1_1	tb2_1	ave_mu	ave_t	ave_U_1	ave_eb1_1	ave_eb2_1	ave_mu_1	ave_t_1	ave_tb1_1	ave_tb2_1	var_U_1	var_eb1_1	var_eb2_1	var_mu_1	var_t_1	var_tb1_1	var_tb2_1	E0_1	sector_1	githash	time
